0,0,4
176,-36,1
24,60,159
-8,32,198
-88,28,188
144,-12,25
112,-32,39
-48,-20,6
-48,-4,51
112,4,79
128,-36,10
-16,24,14
-112,24,31
144,-28,3
-32,8,9
64,24,1
-80,16,65
56,-24,36
120,32,392
136,-20,7
104,-8,233
32,32,241
136,-4,6
-80,-24,1
152,-36,27
-56,-28,150
8,0,60
0,64,14
128,-16,45
-56,4,7
-40,-8,12
72,8,72
-72,48,44
-112,0,1
40,-16,7
-96,40,32
-40,-20,7
-80,36,405
16,44,165
32,-28,17
8,60,156
-56,44,69
-64,-36,416
-16,52,72
-80,-52,4
112,20,2452
-96,20,27
-80,-20,11
8,64,272
16,48,91
-96,4,1
-64,-40,126
64,12,4
-80,-4,26
-16,56,3
32,16,14
-152,-20,8
-80,44,89
24,64,1
-24,32,9
176,-40,46
96,16,42
-8,36,621
-80,40,361
-24,36,2
-80,8,559
8,68,142
32,36,135
48,-20,1
40,44,8
72,4,108
120,36,943
88,12,13
-48,-24,255
40,-8,1
8,-24,58
32,40,149
-40,-4,22
-64,32,2
112,0,9
160,-24,15
-96,44,22
72,20,121
-32,4,2
48,36,126
168,-48,19
24,32,72
120,40,113
32,44,733
-24,16,34
-16,44,25
96,8,57
136,-40,9
-104,16,96
-96,48,4
24,68,178
-72,8,191
-64,-44,4
-40,-16,47
152,-28,199
-72,40,214
112,24,642
136,-36,39
16,36,527
88,4,27
0,36,310
112,-8,15
24,72,1
8,-8,98
-88,24,852
160,-40,1
88,20,76
-8,40,167
-88,-4,47
56,20,49
8,32,257
32,-52,1
80,12,67
-152,60,11
-16,40,320
104,-24,3
-144,-12,5
64,20,145
-80,-28,1
120,8,7
128,24,9
-56,-32,19
-16,8,47
8,36,388
-80,32,137
-72,44,84
0,40,668
72,16,221
-64,12,270
-88,12,20
8,-4,35
-48,-28,90
24,36,562
32,48,3
-16,48,74
16,40,247
-40,-40,2
104,0,220
-56,48,6
32,20,94
-16,4,15
48,-24,43
112,12,7
-64,56,1
-72,20,7
104,-4,28
-120,24,11
-56,-36,107
112,-36,83
144,-24,88
-80,-12,38
-24,8,46
152,-32,23
120,20,262
-160,16,1
112,28,1
96,4,235
-24,20,34
-8,44,328
16,-32,4
136,32,701
-96,24,8
-72,-36,40
-64,-4,16
-32,12,1
144,-40,118
8,-32,5
120,-36,3
-8,48,879
-120,28,50
16,60,241
-88,8,37
16,-36,160
32,-8,61
88,16,3
120,24,388
-8,4,93
-104,20,1
-128,32,4
-96,28,2082
136,40,124
-56,-40,5
64,16,53
104,16,207
16,64,27
-64,8,216
168,56,1
-80,12,9
8,40,381
128,28,52
-56,64,24
-16,32,78
104,-28,5
32,52,10
-64,44,70
-88,44,66
168,-40,142
0,4,334
24,40,1425
16,28,1
136,36,99
-96,12,30
96,0,1888
144,48,1
-72,32,13
120,0,24
-88,20,47
152,-24,15
48,44,72
0,44,23
-72,16,407
96,12,346
-136,52,56
-128,36,201
8,4,36
24,44,460
48,-28,3
-56,-44,1
152,-12,8
56,24,363
16,32,20
-64,4,15
-112,16,8
8,-36,4
48,40,224
112,32,320
-136,48,2
168,-20,1
-160,20,51
40,64,38
-72,-44,13
144,-20,57
-24,24,30
-16,36,257
128,32,1871
-8,52,585
0,48,5152
40,68,8
8,44,467
-56,60,1
104,8,202
112,-20,49
-64,48,6
-56,-4,38
144,-44,62
40,-12,12
8,-16,3
-88,48,1
-104,24,93
168,-44,69
112,-4,92
136,44,3
16,68,293
-56,0,4
104,20,241
-32,64,14
-128,40,44
32,-20,26
-72,-20,14
32,-4,1
-88,4,12
112,36,588
176,-20,3
120,12,158
-104,12,16
-8,60,169
120,-20,13
0,56,589
40,-20,2
40,40,85
8,52,2046
-72,-48,13
-24,12,115
-64,-28,28
-40,-24,2
128,36,90
-80,0,21
16,52,293
-72,12,106
0,52,2529
112,-12,21
-16,60,2
-80,-44,58
32,28,56
136,48,42
24,-36,35
112,-28,7
-128,44,540
80,16,49
-112,20,70
-88,32,49
-64,-60,1
8,-12,108
-48,-40,1
32,-32,54
-80,20,43
-80,-40,21
136,-12,13
-96,32,39
-8,56,423
-120,32,323
-96,-56,1
-88,36,120
8,48,283
-16,28,183
104,-32,1
120,28,3373
-136,56,40
48,24,921
32,68,94
-96,36,280
-8,-16,1
80,20,43
128,40,233
120,-8,1
112,-24,235
-80,24,200
24,-32,80
136,52,4
-64,40,2
-24,60,55
-72,-56,68
-88,40,104
168,-36,32
-32,16,18
144,-36,210
-40,-12,32
128,-4,26
-88,16,23
-104,28,12
-128,48,510
-16,64,56
104,52,1
-96,16,290
8,56,1207
-24,64,362
-80,-16,65
-64,-32,15
-64,16,349
72,12,61
32,64,3
-24,28,79
0,60,734
16,56,614
-32,36,50
-8,0,3
24,56,411
